date,Deaths,Cases
10/06/2022,168953,4262
09/06/2022,168939,4082
08/06/2022,168931,4096
07/06/2022,168912,4108
06/06/2022,168892,4126
05/06/2022,168867,3965
04/06/2022,168848,3835
03/06/2022,168823,3849
02/06/2022,168808,3841
01/06/2022,168775,3800
31/05/2022,168755,4036
30/05/2022,168718,4091
29/05/2022,168680,4018
28/05/2022,168663,4013
27/05/2022,168635,4197
26/05/2022,168599,4365
25/05/2022,168562,4489
24/05/2022,168537,4639
23/05/2022,168501,5010
22/05/2022,168454,5047
21/05/2022,168415,5065
20/05/2022,168382,5187
19/05/2022,168332,5356
18/05/2022,168308,5425
17/05/2022,168271,5733
16/05/2022,168216,6024
15/05/2022,168167,6158
14/05/2022,168110,6147
13/05/2022,168058,6366
12/05/2022,167997,6602
11/05/2022,167947,7034
10/05/2022,167890,7363
09/05/2022,167811,7647
08/05/2022,167745,7715
07/05/2022,167674,7768
06/05/2022,167598,8170
05/05/2022,167514,8596
04/05/2022,167446,8950
03/05/2022,167369,9243
02/05/2022,167292,9326
01/05/2022,167205,9355
30/04/2022,167110,9499
29/04/2022,167022,9938
28/04/2022,166945,10432
27/04/2022,166840,10965
26/04/2022,166730,11320
25/04/2022,166640,11992
24/04/2022,166536,12083
23/04/2022,166432,12156
22/04/2022,166313,12883
21/04/2022,166196,13392
20/04/2022,166068,14164
19/04/2022,165938,14607
18/04/2022,165812,14183
17/04/2022,165673,14254
16/04/2022,165540,14335
15/04/2022,165401,14394
14/04/2022,165262,14955
13/04/2022,165102,15399
12/04/2022,164923,16131
11/04/2022,164770,16442
10/04/2022,164619,16039
09/04/2022,164462,15876
08/04/2022,164320,16366
07/04/2022,164131,16600
06/04/2022,163951,16587
05/04/2022,163790,16552
04/04/2022,163633,16466
03/04/2022,163496,15989
02/04/2022,163350,15739
01/04/2022,163188,15966
31/03/2022,163028,15648
30/03/2022,162885,15632
29/03/2022,162739,15411
28/03/2022,162589,15170
27/03/2022,162456,14465
26/03/2022,162333,13796
25/03/2022,162207,13842
24/03/2022,162074,13602
23/03/2022,161960,13248
22/03/2022,161841,13060
21/03/2022,161724,12753
20/03/2022,161609,12070
19/03/2022,161488,11638
18/03/2022,161369,11595
17/03/2022,161250,11346
16/03/2022,161145,11010
15/03/2022,161042,10877
14/03/2022,160944,10576
13/03/2022,160833,9908
12/03/2022,160755,9618
11/03/2022,160660,9369
10/03/2022,160564,9241
09/03/2022,160474,9163
08/03/2022,160389,9176
07/03/2022,160291,8923
06/03/2022,160201,8502
05/03/2022,160140,8400
04/03/2022,160059,8403
03/03/2022,159975,8210
02/03/2022,159899,8402
01/03/2022,159792,8486
28/02/2022,159711,8538
27/02/2022,159629,8305
26/02/2022,159539,8197
25/02/2022,159463,8498
24/02/2022,159375,8645
23/02/2022,159282,8868
22/02/2022,159192,8948
21/02/2022,159104,9229
20/02/2022,159015,9058
19/02/2022,158912,9187
18/02/2022,158815,9258
17/02/2022,158715,9600
16/02/2022,158612,9804
15/02/2022,158508,10019
14/02/2022,158407,10273
13/02/2022,158282,10049
12/02/2022,158172,10010
11/02/2022,158046,10367
10/02/2022,157926,10734
09/02/2022,157822,11071
08/02/2022,157706,11471
07/02/2022,157573,11710
06/02/2022,157453,11529
05/02/2022,157324,11604
04/02/2022,157179,12032
03/02/2022,157038,12423
02/02/2022,156876,12577
01/02/2022,156718,12896
31/01/2022,156555,13331
30/01/2022,156384,12992
29/01/2022,156218,12672
28/01/2022,156061,13462
27/01/2022,155901,13651
26/01/2022,155730,13948
25/01/2022,155556,14088
24/01/2022,155400,14563
23/01/2022,155204,14334
22/01/2022,155024,14320
21/01/2022,154834,14865
20/01/2022,154623,15302
19/01/2022,154460,15742
18/01/2022,154285,16218
17/01/2022,154091,16621
